event_date,event_title,event_description,landslide_trigger,country_name,country_code,admin_division_name,longitude,latitude,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,max_rainfall_7d,elevation_m,slope_deg,location_accuracy_km,FAOSOIL,DOMSOI,landslide_occurred
2015-07-22 00:00:00,Willong-Yangkhullen stretch,Torrential rain in the last many days has created havoc in many places of Senapati district.  Reports collected from different areas of the district said that massive landslide along the newly christened National Highway-102/A (Maram Peren road) has totally cut off villages in Willong and Yangkhullen circle.,continuous_rain,India,IN,Manipur,93.9854,25.5007,10.3,41.39,117.9,163.55,33.49,1429.0,19.350128854289956,5.0,Bh16-2/3c,Bh,1
2011-06-11 00:00:00,Synthetic negative example,No recorded landslide at this location on 2011-06-11,none,India,IN,Assam,92.5121,24.5308,4.3,31.7,78.5,162.2,31.7,58.0,10.280713071431196,1.0,Gd25-2a,Gd,0
2022-09-25 00:00:00,Synthetic negative example,No recorded landslide at this location on 2022-09-25,none,India,IN,Meghalaya,90.215,25.5114,1.8,21.2,53.5,118.0,29.9,306.0,8.213794389737659,1.0,Nd2-2b,Nd,0
2020-06-06 00:00:00,Synthetic negative example,No recorded landslide at this location on 2020-06-06,none,India,IN,Meghalaya,91.885,25.5728,22.7,32.4,114.2,228.8,55.0,1501.0,9.40412013238775,5.0,Ao74-2b,Ao,0
2023-07-07 00:00:00,Synthetic negative example,No recorded landslide at this location on 2023-07-07,none,India,IN,Manipur,94.0573,23.9939,18.1,60.4,96.5,169.2,33.3,976.0,12.803323355556538,50.0,Bh16-2/3c,Bh,0
2010-06-20 00:00:00,Synthetic negative example,No recorded landslide at this location on 2010-06-20,none,India,IN,Mizoram,92.8112,23.4495,3.3,26.0,184.9,254.5,100.5,869.0,31.16083503860741,25.0,Bh16-2/3c,Bh,0
2013-06-08 17:00:00,"15 Km From Gangtok, Himalayans","Hundreds of tourists were stranded near Gangtok, following a landslide. ""We faced many problems there was nothing to protect us (from cold). The person, who slept in the vehicle in night, might fall sick. Military persons gave food to everybody to eat. Locals helped us,"" a tourist, Sanjay Suri, said. Nearly 100 vehicles were struck as slush and the debris blocked the road nearly 15 kilometres off Gangtok after heavy rain. Gangtok is located in the Himalayans at an altitude of nearly 5,600 feet. Military personnel and locals aided the visitors, who slept either in cars or a nearby temple. The Border Roads Organisation (BRO) has started the clearing operations to make the road commutable for the travelers to leave for their destination. (2nd link) Around 600 tourists returning to Gangtok from Chhangu Lake, Baba Mandir and Nathu-la were stranded at 5th Mile, 15km from Gangtok, following a landslide on Jawaharlal Nehru Marg on Saturday evening, official sources said. ""Around 5pm, when t",downpour,India,IN,Sikkim,88.708,27.3721,10.3,15.09,35.18,110.67,12.08,3159.0,38.00689623991378,25.0,Bd32-2bc,Bd,1
2022-08-27 00:00:00,Synthetic negative example,No recorded landslide at this location on 2022-08-27,none,India,IN,Tripura,91.4663,24.0896,10.6,11.7,64.0,100.5,35.9,107.0,7.483527022769612,5.0,Bd61-2c,Bd,0
2016-07-07 00:00:00,"Kamrup district, Assam, India","Two persons including a minor were killed and two others injured on Thursday due to a landslide in Assam’s Kamrup district.           Police said the incident took place at 11 Mile Area under Sonapur police station in the district. “A guard wall caved in on the house of Bishal Sharma due to landslide triggered by incessant rains since last night,” police said adding that while Bishal Sharma and his daughter Nanu Sharma (13) were killed on the spot, his wife Radha Sharma and another daughter Puja Sharma were injured during the incident.",continuous_rain,India,IN,Assam,91.3681,25.9611,24.29,49.8,151.2,207.46,32.93,181.0,5.635158792453883,50.0,Ao77-2a,Ao,1
2011-07-11 00:00:00,Synthetic negative example,No recorded landslide at this location on 2011-07-11,none,India,IN,Assam,93.1645,25.5215,1.2,1.2,4.3,56.2,1.9,278.0,3.2128253404789087,25.0,Ao76-2/3c,Ao,0
