u,v,key,osmid,highway,bridge,lanes,surface,name,ref,geometry,length,bearing,start_lon,start_lat,end_lon,end_lat,sinuosity,elevation_min,elevation_max,elevation_avg
18784,35543,0,"[44769003, 52116564]",trunk,,,,"[None, 'NH40']",NH6,"LINESTRING (91.8690026 25.6009048, 91.86897 25.6009601, 91.8689472 25.6010423, 91.8689418 25.6011246, 91.8689498 25.6012261, 91.8689726 25.6013701, 91.8690048 25.6015515, 91.8690357 25.6017474, 91.8690451 25.6018587, 91.8690437 25.6019542, 91.8690343 25.6020341, 91.8690142 25.6021199, 91.8689512 25.6022796, 91.868856 25.6025069, 91.8687514 25.6027367, 91.8686548 25.6029665, 91.8685918 25.6031274, 91.8685623 25.6032265, 91.8685556 25.6033064, 91.8685629 25.6033844, 91.8685784 25.6034442, 91.8686105 25.6035162, 91.8686515 25.6035767, 91.8686652 25.6035942, 91.8687031 25.6036426, 91.8687755 25.6037079, 91.8688707 25.6037889, 91.8689874 25.6038772, 91.8690866 25.603951, 91.8692248 25.604055, 91.8693441 25.6041493, 91.8694487 25.6042558, 91.8695426 25.6043707, 91.8696016 25.6044589, 91.8696848 25.6045835, 91.8697894 25.6047323, 91.8698605 25.6048387, 91.8699905 25.6050818, 91.8700777 25.605245, 91.8701595 25.6054156, 91.8703003 25.6056841, 91.870314 25.6057098, 91.8703701 25.6058147, 91.8704251 25.6059199, 91.8704787 25.6060106, 91.8705619 25.6061485, 91.8706195 25.6062368, 91.8706812 25.6063069, 91.8707617 25.6063734, 91.8708341 25.6064278, 91.8710299 25.6065548, 91.8713531 25.6067399, 91.871557 25.6068644, 91.8717675 25.6070071, 91.8718654 25.6070749, 91.8719579 25.6071607, 91.8720491 25.6072792, 91.8721846 25.6074824, 91.8722892 25.6076457, 91.8723951 25.607815, 91.8724796 25.6079371, 91.8725153 25.6079799, 91.8726017 25.6080835, 91.872717 25.6082129, 91.8730563 25.6086192, 91.8732293 25.6088224, 91.8734721 25.6091066, 91.8735619 25.6092179, 91.8736182 25.6093001, 91.8736665 25.6094065, 91.8736947 25.6094996, 91.8737054 25.6095807, 91.8737108 25.6097185, 91.8737215 25.6099519, 91.8737403 25.6101007, 91.8737564 25.6102192, 91.8737818 25.610345, 91.8738181 25.6105022, 91.8738462 25.610657, 91.8738704 25.6108493, 91.8738811 25.6110646, 91.8738784 25.6112786, 91.8738811 25.6114479, 91.8738784 25.6115604, 91.8738744 25.6116632, 91.873865 25.6117805, 91.8738422 25.6119123, 91.8738127 25.6120199, 91.8737818 25.6121373, 91.873755 25.6122691, 91.8737389 25.6123815, 91.8737376 25.6124964, 91.8737456 25.6126137, 91.8737671 25.6127734, 91.8737885 25.6129197, 91.8738113 25.6130975, 91.8738368 25.6132244, 91.8738589 25.6133611, 91.8738905 25.6135292, 91.8739226 25.6136912, 91.8739468 25.6138617, 91.8739763 25.6140806, 91.8740004 25.6142923, 91.8740286 25.6144821, 91.8740635 25.6146974, 91.874093 25.6148497, 91.8741278 25.6149695, 91.8741707 25.6150977, 91.8742244 25.6152101, 91.8742785 25.615297)",1685.516154438436,18.291290617640573,91.8690026,25.6009048,91.8742785,25.615297,0.9906111945372232,,,
18784,18863,0,44769003,trunk,,,,,NH6,"LINESTRING (91.8690026 25.6009048, 91.869017 25.6008804, 91.8690617 25.6008241, 91.8690853 25.6007944, 91.8692127 25.6006468, 91.8693012 25.6005392, 91.8693579 25.60046, 91.8694058 25.6003541, 91.8694313 25.6002538, 91.8694514 25.6001364, 91.8694662 25.6000191, 91.8694715 25.5999006, 91.8694631 25.5998109, 91.8694608 25.5997857, 91.8694326 25.5996756, 91.8693897 25.5995716, 91.869316 25.599441, 91.8692315 25.599314, 91.8691644 25.5992281, 91.8690746 25.5991265, 91.8689874 25.5990201, 91.8689217 25.5989367, 91.8688935 25.5988665, 91.8688815 25.5987952, 91.8688868 25.5987298, 91.8689123 25.5986573, 91.8689409 25.5986104, 91.8689552 25.5985871, 91.8690477 25.5984976, 91.8691872 25.5983839, 91.8692851 25.5982956, 91.8693844 25.5981807, 91.8694331 25.5981131, 91.869489 25.5980356, 91.8695721 25.5978893, 91.86967 25.597709, 91.8697505 25.5975349, 91.8698444 25.5972773, 91.8699615 25.5969217, 91.8699691 25.5968987, 91.870012 25.5967415, 91.8700173 25.5967203, 91.8700522 25.5965806, 91.8700911 25.5963702, 91.8701582 25.596046, 91.8702024 25.5958779, 91.8702641 25.5956916, 91.8703021 25.5955961, 91.8703325 25.5955199, 91.8703848 25.595388, 91.8704492 25.5952043, 91.870531 25.5951086, 91.8706249 25.5949671, 91.8707787 25.5947586, 91.8708033 25.5947252, 91.8708944 25.594591, 91.8710151 25.5944337, 91.8710735 25.5943634, 91.8711426 25.5942801, 91.8712458 25.5941773, 91.8713518 25.5940661, 91.8714117 25.5940113, 91.8715435 25.5938907, 91.8717112 25.5937395, 91.8718426 25.5936185, 91.8719606 25.5934964, 91.8720935 25.5933235, 91.8721672 25.5932158, 91.8722288 25.5930912, 91.8722704 25.5929956, 91.8723107 25.5928711, 91.8723495 25.5927271, 91.8723717 25.5926703, 91.8724119 25.5925959, 91.8724609 25.5925312, 91.8725246 25.5924671, 91.8726245 25.5923878, 91.872723 25.5923274, 91.8728592 25.5922566, 91.8730472 25.5921655)",1053.016678349827,157.34417448378767,91.8690026,25.6009048,91.8730472,25.5921655,0.9851274367247498,,,
18863,18784,0,44769003,trunk,,,,,NH6,"LINESTRING (91.8730472 25.5921655, 91.8728592 25.5922566, 91.872723 25.5923274, 91.8726245 25.5923878, 91.8725246 25.5924671, 91.8724609 25.5925312, 91.8724119 25.5925959, 91.8723717 25.5926703, 91.8723495 25.5927271, 91.8723107 25.5928711, 91.8722704 25.5929956, 91.8722288 25.5930912, 91.8721672 25.5932158, 91.8720935 25.5933235, 91.8719606 25.5934964, 91.8718426 25.5936185, 91.8717112 25.5937395, 91.8715435 25.5938907, 91.8714117 25.5940113, 91.8713518 25.5940661, 91.8712458 25.5941773, 91.8711426 25.5942801, 91.8710735 25.5943634, 91.8710151 25.5944337, 91.8708944 25.594591, 91.8708033 25.5947252, 91.8707787 25.5947586, 91.8706249 25.5949671, 91.870531 25.5951086, 91.8704492 25.5952043, 91.8703848 25.595388, 91.8703325 25.5955199, 91.8703021 25.5955961, 91.8702641 25.5956916, 91.8702024 25.5958779, 91.8701582 25.596046, 91.8700911 25.5963702, 91.8700522 25.5965806, 91.8700173 25.5967203, 91.870012 25.5967415, 91.8699691 25.5968987, 91.8699615 25.5969217, 91.8698444 25.5972773, 91.8697505 25.5975349, 91.86967 25.597709, 91.8695721 25.5978893, 91.869489 25.5980356, 91.8694331 25.5981131, 91.8693844 25.5981807, 91.8692851 25.5982956, 91.8691872 25.5983839, 91.8690477 25.5984976, 91.8689552 25.5985871, 91.8689409 25.5986104, 91.8689123 25.5986573, 91.8688868 25.5987298, 91.8688815 25.5987952, 91.8688935 25.5988665, 91.8689217 25.5989367, 91.8689874 25.5990201, 91.8690746 25.5991265, 91.8691644 25.5992281, 91.8692315 25.599314, 91.869316 25.599441, 91.8693897 25.5995716, 91.8694326 25.5996756, 91.8694608 25.5997857, 91.8694631 25.5998109, 91.8694715 25.5999006, 91.8694662 25.6000191, 91.8694514 25.6001364, 91.8694313 25.6002538, 91.8694058 25.6003541, 91.8693579 25.60046, 91.8693012 25.6005392, 91.8692127 25.6006468, 91.8690853 25.6007944, 91.8690617 25.6008241, 91.869017 25.6008804, 91.8690026 25.6009048)",1053.016678349827,337.3459218772301,91.8730472,25.5921655,91.8690026,25.6009048,0.9851274367247498,,,
18863,18897,0,44769003,trunk,,,,,NH6,"LINESTRING (91.8730472 25.5921655, 91.8732655 25.5920933, 91.8734291 25.592022, 91.8735713 25.5919542, 91.8736405 25.5919118, 91.8737054 25.591872, 91.8739334 25.5917256, 91.8741118 25.5916035, 91.8742405 25.5915091, 91.8743786 25.5913954, 91.8744128 25.5913646, 91.8745221 25.591266, 91.8746127 25.591185, 91.8746864 25.5911051, 91.8747434 25.5910356, 91.8747836 25.5909612, 91.8747876 25.5909144, 91.8747728 25.5908576, 91.8747474 25.5907689, 91.8747085 25.5906516, 91.8746549 25.5905137, 91.8745972 25.5903867, 91.8745154 25.5902052, 91.8744444 25.5900323, 91.8743786 25.5898513, 91.8743237 25.5896525, 91.8742821 25.5895025, 91.8742539 25.5893912, 91.8742286 25.5892615, 91.8742176 25.5891159, 91.8742109 25.5890273, 91.874203 25.5889231, 91.8741996 25.58883, 91.8741929 25.5887513, 91.8741835 25.5886697)",405.0753599764165,163.6606423241058,91.8730472,25.5921655,91.8741835,25.5886697,0.9927875419623324,,,
18897,18863,0,44769003,trunk,,,,,NH6,"LINESTRING (91.8741835 25.5886697, 91.8741929 25.5887513, 91.8741996 25.58883, 91.874203 25.5889231, 91.8742109 25.5890273, 91.8742176 25.5891159, 91.8742286 25.5892615, 91.8742539 25.5893912, 91.8742821 25.5895025, 91.8743237 25.5896525, 91.8743786 25.5898513, 91.8744444 25.5900323, 91.8745154 25.5902052, 91.8745972 25.5903867, 91.8746549 25.5905137, 91.8747085 25.5906516, 91.8747474 25.5907689, 91.8747728 25.5908576, 91.8747876 25.5909144, 91.8747836 25.5909612, 91.8747434 25.5910356, 91.8746864 25.5911051, 91.8746127 25.591185, 91.8745221 25.591266, 91.8744128 25.5913646, 91.8743786 25.5913954, 91.8742405 25.5915091, 91.8741118 25.5916035, 91.8739334 25.5917256, 91.8737054 25.591872, 91.8736405 25.5919118, 91.8735713 25.5919542, 91.8734291 25.592022, 91.8732655 25.5920933, 91.8730472 25.5921655)",405.0753599764165,343.66113313174566,91.8741835,25.5886697,91.8730472,25.5921655,0.9927875419623324,,,
18897,493859,0,"[344452136, 344452139, 44769003]",trunk,"[None, 'yes']",,,"[None, 'Shillong - Guwahati road']",NH6,"LINESTRING (91.8741835 25.5886697, 91.8741661 25.5885953, 91.8741346 25.5885203, 91.8740869 25.5884423, 91.8740564 25.5884084, 91.8740112 25.5883582, 91.8738905 25.5882542, 91.8737845 25.5881744, 91.8736544 25.588074, 91.8735472 25.5879966, 91.8734519 25.5879131, 91.8733983 25.5878466, 91.8733674 25.5877716, 91.8733326 25.587647, 91.8733164 25.5873349, 91.8733092 25.587253, 91.8732937 25.5870773, 91.8732776 25.5869467, 91.8732675 25.5868269, 91.8732514 25.5867308, 91.8732347 25.5866848, 91.8731984 25.5866376, 91.8731448 25.5866086, 91.8730905 25.5865959, 91.8730402 25.5865977, 91.8729604 25.5866213, 91.8728679 25.586654, 91.8727901 25.5866794, 91.872717 25.5866878, 91.872662 25.5866878, 91.872595 25.5866733, 91.8725494 25.5866165, 91.8725198 25.5865645, 91.872493 25.5864846, 91.8724917 25.5864036, 91.8725145 25.5863056, 91.8725413 25.5861895, 91.8725442 25.5861686, 91.8725514 25.5861157, 91.872548 25.586054, 91.8725286 25.5859978, 91.872487 25.5859409, 91.872432 25.5858901, 91.8723589 25.5858194, 91.8723012 25.5857371, 91.8722583 25.5856633, 91.8722235 25.585575, 91.8722114 25.5854964, 91.8722168 25.5854154, 91.8722329 25.5853367, 91.8722516 25.5852521, 91.8722553 25.5852095, 91.8722597 25.5851589, 91.8722557 25.585067, 91.8722436 25.5849799, 91.8722221 25.5848722, 91.8721765 25.5847658, 91.8721202 25.5846654, 91.8720585 25.5845577, 91.8720049 25.5844549, 91.8719593 25.5843491, 91.8719385 25.5842759, 91.8719351 25.5842088, 91.8719512 25.5841422, 91.8719888 25.5840848, 91.8720303 25.58404, 91.8721041 25.5839711, 91.872198 25.5838876, 91.8722825 25.5838187, 91.8723844 25.5837316, 91.8724528 25.5836663, 91.872495 25.5836209, 91.8725286 25.5835719, 91.8725399 25.5835311, 91.8725359 25.5834984, 91.8725232 25.5834658, 91.8725048 25.583437, 91.8724739 25.5834083, 91.8724276 25.5833738, 91.8723522 25.5833191, 91.8722503 25.5832489, 91.8722033 25.5831921, 91.8721524 25.5831159, 91.8721215 25.5830252, 91.8720987 25.5829223, 91.8720665 25.5828236, 91.872035 25.5827409, 91.8719807 25.5826514, 91.8719371 25.5825927, 91.8718842 25.582531, 91.87185 25.5824851, 91.8718312 25.5824482, 91.8718195 25.5824049, 91.8718171 25.5823701, 91.8718205 25.5823302, 91.8718339 25.5822891, 91.871856 25.5822443, 91.8720216 25.581997, 91.8723442 25.5814696, 91.8724541 25.5813099, 91.8725205 25.5812107, 91.8725695 25.5811321, 91.8726251 25.5810468, 91.8726888 25.5809633, 91.8727572 25.5808986, 91.8728216 25.5808466, 91.8728766 25.5807988, 91.8729302 25.5807498, 91.8729644 25.5807021, 91.8729879 25.5806615, 91.8730335 25.5805381, 91.8730952 25.580393, 91.8731231 25.5802543, 91.8732172 25.580024, 91.87326 25.579795, 91.8733084 25.5796575, 91.8733607 25.5794736)",1025.8854273100255,184.61395698206965,91.8741835,25.5886697,91.8733607,25.5794736,1.0010154364127095,,,
26014,26020,0,44880833,trunk,,,,,NH6,"LINESTRING (91.8711355 25.5719805, 91.8711563 25.5718906, 91.8711698 25.5718435, 91.8711954 25.571773, 91.8712194 25.5717225, 91.8712489 25.5716765, 91.8713323 25.5715646)",50.28268889542475,156.8852577485906,91.8711355,25.5719805,91.8713323,25.5715646,0.9845368083700328,,,
26014,81848,0,344452136,trunk,,,,Shillong - Guwahati road,NH6,"LINESTRING (91.8711355 25.5719805, 91.8711486 25.5720473, 91.8711687 25.5721211, 91.8711942 25.5721822, 91.8712223 25.5722457, 91.8712652 25.5723117, 91.871294 25.5723615)",45.250043792806146,20.56902307591575,91.8711355,25.5719805,91.871294,25.5723615,0.9878933450788456,,,
26020,26014,0,44880833,trunk,,,,,NH6,"LINESTRING (91.8713323 25.5715646, 91.8712489 25.5716765, 91.8712194 25.5717225, 91.8711954 25.571773, 91.8711698 25.5718435, 91.8711563 25.5718906, 91.8711355 25.5719805)",50.28268889542475,336.8853426955311,91.8713323,25.5715646,91.8711355,25.5719805,0.9845368083700328,,,
26020,26055,0,44880833,trunk,,,,,NH6,"LINESTRING (91.8713323 25.5715646, 91.8715098 25.5715483, 91.8716787 25.5715374, 91.8718439 25.571532, 91.8720625 25.5715259, 91.8722288 25.5715138, 91.8723951 25.5714957, 91.8725842 25.571463, 91.8728109 25.5714146, 91.8731461 25.5713348, 91.8733875 25.5712719, 91.8735458 25.5712235, 91.8737228 25.5711606, 91.8738851 25.5710977, 91.8740232 25.5710469, 91.8741761 25.5709997, 91.8743035 25.5709682, 91.8744846 25.5709283, 91.8747219 25.5708823, 91.8749017 25.57084, 91.8750586 25.5708025, 91.875186 25.5707747, 91.8753134 25.5707565, 91.8754126 25.5707565, 91.8755119 25.5707735, 91.8756057 25.5708086, 91.8757385 25.5708775, 91.8758391 25.5709549, 91.875933 25.5710432, 91.8760201 25.5711533, 91.8761395 25.571307, 91.8762548 25.5714509, 91.8762986 25.5715057, 91.8763447 25.5715634, 91.8764506 25.5716711, 91.8765967 25.5717997)",528.6822411467512,87.16458050884957,91.8713323,25.5715646,91.8765967,25.5717997,0.9038372181190676,,,
