source_name,source_link,event_id,event_date,event_title,event_description,location_description,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,max_rainfall_7d,elevation_m,slope_deg,location_accuracy_km,is_rain_triggered,landslide_size_encoded,FAOSOIL,DOMSOI
morungexpress,http://www.morungexpress.com/local/56264.html,2587,2010-10-10 06:00:00,"Lower Chandmari area, PWD department, Kohima, Manipur","Today, a government quarter belonging to PWD department and three private houses in Lower Chandmari area, Kohima started to sink around 6 am. Informing the media, a concerned citizen, Temjentiba, stated “I want to make the concerned authority aware of the damage and arrange necessary measures to help the effected victims who are like you and me. As a responsible citizen I’m sharing this with the rest of the people.” It was estimated that altogether, four houses were completely sunk and damages estimated to be worth 40 to 50 lakhs of rupees.","Lower Chandmari area, PWD department, Kohima, Manipur",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Nagaland,92113.0,Kohima,1.4225,94.1072,25.6623,0.87,76.09,120.34,131.06,52.1,1382.0,9.350342558119696,1.0,True,2.0,Ao76-2/3c,Ao
The Shillong Times,http://www.theshillongtimes.com/2015/06/17/entire-family-among-5-dead-in-tura-landslides/,6969,2015-06-16 06:15:00,"Nakham Bazaar, Tura, Meghalaya",Huge tons of mud and boulders came crashing down from the above cliffs completely destroying the home.,"Nakham Bazaar, Tura, Meghalaya",landslide,downpour,medium,urban,4.0,0.0,India,IN,Meghalaya,63645.0,Tura,1.30159,90.215,25.5114,27.16,62.64,230.34,245.52,61.76,306.0,8.213794389737659,1.0,True,2.0,Nd2-2b,Nd
e-pao.net,http://e-pao.net/GP.asp?src=Snipp8..080911.sep11,3965,2011-09-06 08:00:00,NH 37 at Awang Khul,A massive landslide along the NH 37 at Awang Khul has cut off Imphal and Jiribam,NH 37 at Awang Khul,landslide,rain,medium,unknown,3.0,0.0,India,IN,Assam,12871.0,Lakhipur,11.03875,93.117,24.808,22.29,30.58,45.24,61.51,22.29,39.0,5.900698486822301,1.0,True,2.0,Gd25-2a,Gd
gsi.gov,"http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL",2205,2010-08-06 00:00:00,"Dawrpui Vengthar cemetary, Aizwal, Mizoram","As per PTI report a massive landslide triggered by heavy rains on 6th August 2010 at the cemetery of Dawrpui Vengthar locality, Aizwal has swept away number of tombs.","Dawrpui Vengthar cemetary, Aizwal, Mizoram",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Mizoram,265331.0,Aizawl,0.90276,92.7146,23.7365,0.38,16.06,42.25,101.53,15.24,1024.0,35.93984192404095,1.0,True,2.0,Bd61-2c,Bd
www.indiatvnews.com,http://www.indiatvnews.com/news/india/sikkim-landslide-army-rescues-tourists-stranded-near-nathu-la-24315.html,4990,2013-06-27 23:00:00,"Near Changu Lake, 15Km Away From Nathu La, On India-China Border In Eastern Sikkim","The Mountain Black Cat Division of the Indian Army has rescued 230 tourists last night when they were stranded near Changu Lake (13300 ft height) , 15 km away from Nathu La, on India-China border in eastern Sikkim. Heavy rain and landslides in this area has cut off traffic. The nearest regiment of army jawans noticed nearly 47 vehicles carrying tourists who were stranded at night.","Near Changu Lake, 15Km Away From Nathu La, On India-China Border In Eastern Sikkim",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Sikkim,30700.0,Gangtok,15.93151,88.7628,27.3765,10.5,37.88,89.33,108.19,20.53,3756.0,12.964867886244122,1.0,True,2.0,I-Bh-U-c,I
Mizoram Express,http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/,2422,2010-09-13 00:00:00,"Hunthar Veng, Mizoram","In Hunthar Veng, the kitchen side of H. Lalchhanhima’s house was damaged by a landslide while the road to Kanan Veng was blocked by a landslide. ","Hunthar Veng, Mizoram",landslide,downpour,medium,urban,0.0,0.0,India,IN,Mizoram,20244.0,Serchhīp,8.59507,92.7141905,23.74182634,9.93,17.18,36.45,64.21,9.93,930.0,14.76547201733368,1.0,True,2.0,Bd61-2c,Bd
E-Pao,http://www.e-pao.net/GP.asp?src=Snipp1..260716.jul16,9186,2016-07-25 12:30:00,"Imphal-Dimapur road  in Tadubi, Senapati district, Manipur, India","Continuous downpour in the past three days led to a massive mudslide along Imphal-Dimapur road (NH-2) and destroyed 6 stalls constructed at the heart of Tadubi town at around 12.30pm today, reports NNN.  An 81 year old woman identified as S Koshuni, who was in one of the shops miraculously escaped with minor injuries.","Imphal-Dimapur road  in Tadubi, Senapati district, Manipur, India",landslide,continuous_rain,medium,above_road,0.0,1.0,India,IN,Manipur,92113.0,Kohima,21.74404,94.1383,25.48,18.3,31.65,48.82,130.34,18.3,1699.0,16.072160878428527,1.0,True,2.0,Ao76-2/3c,Ao
Mizoram Express,http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/,2420,2010-09-13 00:00:00,"Tuikual 'C', Aizawl, Mizoram","Landslide triggered by heavy rain in Tuikual ‘C’ on Monday killed a woman, R. Laltanpuii.  According to Aizawl Police sources, the landslide buried the woman while she was collecting water with her friend. Luckily, her friend who was nearby her escaped unhurt.  The dead body was handed over to her relatives after post mortem examination in Aizawl Civil Hospital. ","Tuikual 'C', Aizawl, Mizoram",landslide,downpour,medium,urban,1.0,0.0,India,IN,Mizoram,20244.0,Serchhīp,8.59507,92.71495623,23.72988966,9.93,17.18,36.45,64.21,9.93,980.0,23.342694612103696,1.0,True,2.0,Bd61-2c,Bd
articles.timesofindia,http://articles.timesofindia.indiatimes.com/2012-09-19/guwahati/33951873_1_landslides-road-communication-water-tank,4570,2012-09-19 00:00:00, Arunachal Pradesh ,"Landslides blocked the main road culvert (PWD) near the beat office causing soil erosion from lower portion of the compound. Beat officer Bapak Koyu said if such rain continues, government quarters and office buildings may get washed away. He added that the staff, along with office files and documents, have been shifted to a safe place for the time being. Stating that the matter has been intimated to the higher authorities, Koyu urged for hiring one JCB immediately to divert the nullah passing through the forest compound.", Arunachal Pradesh ,landslide,downpour,medium,unknown,0.0,0.0,India,IN,Arunachal Pradesh,25581.0,Pāsighāt,26.39832,95.2253,27.8458,62.91,108.4,203.85,348.6,62.91,131.0,0.926369172997235,1.0,True,2.0,Ao79-a,Ao
Assam Times,http://www.assamtimes.org/node/15150,8339,2015-09-23 00:00:00,Kamakhya Temple,Surface communication remains heavily disrupted atop the Nilachal Hill when a huge rock collapsed on the road leading to the historic Kamakhya temple on Wednesday.It took several hours for PWD and forest officials to clear the road after the rock along with uprooted trees blocked a portion of the hillside road in the morning. There is no report of casualty. Local residents fear the repeat of more landslide in view of the non stopped rains during the last 48 hours. The authority have asked the residents in the hillock to come down to the safe places to avoid further disaster.Tourists from the far flung areas have been remaining stranded on way to the historic Kamakhya temple from early in the morning.,Kamakhya Temple,landslide,continuous_rain,medium,above_road,0.0,0.0,India,IN,Assam,17516.0,North Guwāhāti,3.77975,91.7042,26.1666,61.13,106.92,116.73,186.09,61.13,235.0,17.151823509523624,1.0,True,2.0,Ao79-a,Ao
Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=sep2414/at051,6283,2014-09-22 00:00:00,Dakhingaon,"Flash flood and landslides continued to cause devastation in Guwahati for the second day today with the death toll due to landslip rising to four. Two persons died in two separate incidents of landslides in Lalmati and Dakhingaon, whereas a woman was injured in another landslide incident at Batahghuli.",Dakhingaon,landslide,rain,small,unknown,0.0,0.0,India,IN,Assam,2000.0,Dispur,4.61338,91.7548,26.1314,126.76,191.59,231.7,266.59,126.76,74.0,7.148839105606214,1.0,True,1.0,Nd2-2b,Nd
Sciency Thoughts,http://sciencythoughts.blogspot.com/2014/05/seven-members-of-one-family-killed-by.html,6016,2014-05-09 23:00:00,"Satgarakul Village, Karimganj, Assam State","Seven members of a single family have been killed by a landslide that struck their home in the village of Satkoragool in the Karimganj District of Assam State, India, overnight between Friday 9 May and Saturday 10 May/2014. Nobody witnessed the incident, which occurred during heavy rain, but neighbours found that part of a hillside had collapsed onto the home, burying it under a debris heap of mud rocks and trees. The bodies of Lubub Uddin (45), his wife Saina Begam (35). and their five children, aged between two and eleven were all recovered from the site.","Satgarakul Village, Karimganj, Assam State",landslide,rain,small,unknown,7.0,0.0,India,IN,Assam,55290.0,Karīmganj,0.3326,92.3576,24.8669,43.71,124.37,171.03,215.65,44.97,20.0,2.0413777681804106,1.0,True,1.0,Ge53-3a,Ge
Mizoram Express,http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/,2421,2010-09-13 09:00:00,"road to Muanna Godown, Zuangtui, Mizoram",The heavy rain also caused landslides in several places blocking the road. The approach road to Muanna Godown in Zuangtui was blocked by a landslide since this morning.  It is expected to be restored this evening. ,"road to Muanna Godown, Zuangtui, Mizoram",landslide,downpour,medium,above_road,0.0,0.0,India,IN,Mizoram,20244.0,Serchhīp,8.59507,92.74128531,23.75406693,11.41,19.1,46.34,93.87,11.41,959.0,22.717560039379222,1.0,True,2.0,Bd61-2c,Bd
