latitude,longitude,elevation_m,slope_deg,FAOSOIL,DOMSOI,admin_division_name,country_name,country_code,location_accuracy_km,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,max_rainfall_7d,event_date,landslide_occurred,landslide_trigger,event_title,event_description
25.6623,94.1072,1382.0,9.350342558119696,Ao76-2/3c,Ao,Nagaland,India,IN,1.0,18.1,33.800000000000004,94.2,266.7,23.8,2014-08-25,0,none,Synthetic negative example,No recorded landslide at this location on 2014-08-25
25.6623,94.1072,1382.0,9.350342558119696,Ao76-2/3c,Ao,Nagaland,India,IN,1.0,7.8,103.3,198.0,290.3,75.0,2017-06-03,0,none,Synthetic negative example,No recorded landslide at this location on 2017-06-03
25.6623,94.1072,1382.0,9.350342558119696,Ao76-2/3c,Ao,Nagaland,India,IN,1.0,22.7,76.1,119.3,205.2,39.7,2010-09-15,0,none,Synthetic negative example,No recorded landslide at this location on 2010-09-15
25.5114,90.215,306.0,8.213794389737659,Nd2-2b,Nd,Meghalaya,India,IN,1.0,1.8,21.2,53.5,118.0,29.9,2022-09-25,0,none,Synthetic negative example,No recorded landslide at this location on 2022-09-25
25.5114,90.215,306.0,8.213794389737659,Nd2-2b,Nd,Meghalaya,India,IN,1.0,16.5,68.4,115.5,139.0,40.4,2016-07-19,0,none,Synthetic negative example,No recorded landslide at this location on 2016-07-19
25.5114,90.215,306.0,8.213794389737659,Nd2-2b,Nd,Meghalaya,India,IN,1.0,0.1,4.1,51.1,122.2,18.4,2016-08-05,0,none,Synthetic negative example,No recorded landslide at this location on 2016-08-05
24.808,93.117,39.0,5.900698486822301,Gd25-2a,Gd,Assam,India,IN,1.0,44.9,110.3,162.1,236.1,48.3,2017-06-01,0,none,Synthetic negative example,No recorded landslide at this location on 2017-06-01
24.808,93.117,39.0,5.900698486822301,Gd25-2a,Gd,Assam,India,IN,1.0,4.7,22.6,27.8,71.4,11.9,2016-06-06,0,none,Synthetic negative example,No recorded landslide at this location on 2016-06-06
24.808,93.117,39.0,5.900698486822301,Gd25-2a,Gd,Assam,India,IN,1.0,6.9,78.0,238.0,380.6,102.9,2016-06-19,0,none,Synthetic negative example,No recorded landslide at this location on 2016-06-19
23.7365,92.7146,1024.0,35.93984192404095,Bd61-2c,Bd,Mizoram,India,IN,1.0,2.8,18.0,33.9,151.7,13.1,2017-09-07,0,none,Synthetic negative example,No recorded landslide at this location on 2017-09-07
23.7365,92.7146,1024.0,35.93984192404095,Bd61-2c,Bd,Mizoram,India,IN,1.0,26.7,35.1,65.3,97.9,26.7,2021-06-06,0,none,Synthetic negative example,No recorded landslide at this location on 2021-06-06
23.7365,92.7146,1024.0,35.93984192404095,Bd61-2c,Bd,Mizoram,India,IN,1.0,5.8,19.2,46.7,78.1,13.6,2013-07-21,0,none,Synthetic negative example,No recorded landslide at this location on 2013-07-21
